Strain,TriazoleClass,Itraconazole_MIC,Itraconazole_OD_0ug/ml,Itraconazole_OD_0.01ug/ml,Itraconazole_OD_0.03ug/ml,Itraconazole_OD_0.06ug/ml,Itraconazole_OD_0.12ug/ml,Itraconazole_OD_0.25ug/ml,Itraconazole_OD_0.5ug/ml,Itraconazole_OD_1ug/ml,Itraconazole_OD_2ug/ml,Itraconazole_OD_4ug/ml,Itraconazole_OD_8ug/ml,Itraconazole_OD_16ug/ml,Voriconazole_OD_0ug/ml,Voriconazole_OD_0.01ug/ml,Voriconazole_OD_0.03ug/ml,Voriconazole_OD_0.06ug/ml,Voriconazole_OD_0.12ug/ml,Voriconazole_OD_0.25ug/ml,Voriconazole_OD_0.5ug/ml,Voriconazole_OD_1ug/ml,Voriconazole_OD_2ug/ml,Voriconazole_OD_4ug/ml,Voriconazole_OD_8ug/ml,Voriconazole_OD_16ug/ml,Voriconazole_MIC,AmphotericinB_OD_0ug/ml,AmphotericinB_OD_0.01ug/ml,AmphotericinB_OD_0.03ug/ml,AmphotericinB_OD_0.06ug/ml,AmphotericinB_OD_0.12ug/ml,AmphotericinB_OD_0.25ug/ml,AmphotericinB_OD_0.5ug/ml,AmphotericinB_OD_1ug/ml,AmphotericinB_OD_2ug/ml,AmphotericinB_OD_4ug/ml,AmphotericinB_OD_8ug/ml,AmphotericinB_OD_16ug/ml,AmphotericinB_MIC,ZOC_Mean(24h),CD_Mean(24h),ZOC_Mean(48h),CD_Mean(48h),ZOC_Mean(72h),CD_Mean(72h),ZOC/CD(24h),ZOC/CD(48h),ZOC/CD(72h),RawBiofilm_OD,StandardizedBiofilm_OD,TempGrowth15(24h),TempGrowth15(48h),TempGrowth15(72h),TempGrowth22(24h),TempGrowth22(48h),TempGrowth22(72h),TempGrowth35(24h),TempGrowth35(48h),TempGrowth35(72h),TempGrowth41(24h),TempGrowth41(48h),TempGrowth41(72h),AUC15(24-48h),AUC22(24-48h),AUC35(24-48h),AUC41(24-48h),Contains≥95%_of_SNPs
J57xP20_71,susceptible,0.5,0.232,0.191134468,0.191131528,0.214687805,0.196189844,0.074,0.022,0.079,0.035,0.023,0.033333333,0.024333333,0.235,0.258377123,0.253799929,0.265440738,0.248769423,0.058,0.023,0.017666667,0.02,0.030333333,0.016,0.011,0.5,0.249666667,0.240284366,0.217395054,0.225696929,0.233810579,0.153,0.163,0.144,0.141333333,0.014,0.013,0.01,4,1.95,1.3,3.54,2.26,4.64,3.27,1.5,1.57,1.42,0.089,0.038666667,0.11,0.11,0.111,0.105,0.261,0.352,0.28,0.358,0.417,0.259,0.335,0.395,0.11,0.183,0.319166667,0.297333333,Yes
J57xP20_72,susceptible,0.5,0.265,0.204129858,0.198942041,0.203284288,0.201343907,0.09,0.014,0.014,0.023,0.025,0.023,0.072333333,0.274666667,0.268467076,0.273419098,0.285632678,0.248073718,0.052666667,0.018,0.016,0.016,0.014,0.015,0.013,0.5,0.264666667,0.237423522,0.215906232,0.230028339,0.229270107,0.193666667,0.182666667,0.197666667,0.18,0.013333333,0.011,0.010333333,4,1.84,1.21,3.4,2.38,4.47,3.48,1.53,1.43,1.29,0.082,0.032333333,0.124,0.127,0.124,0.153,0.375,0.484,0.289,0.384,0.451,0.356,0.464,0.468,0.125166667,0.263833334,0.336333334,0.409833334,Yes
J57xP20_73,susceptible,0.5,0.279,0.184634288,0.198892925,0.194794847,0.188079698,0.181333333,0.022,0.017,0.017,0.017,0.018666667,0.019,0.291,0.26372643,0.261530967,0.252109732,0.25119173,0.013,0.013,0.007666667,0.011666667,0.012,0.012,0.087,0.25,0.261666667,0.239949024,0.241657031,0.234054445,0.219605629,0.269666667,0.230666667,0.011,0.011,0.013,0.012,0.01,1,1.91,1.26,3.51,2.26,4.74,3.21,1.51,1.55,1.47,0.083,0.032666667,0.157,0.157,0.157,0.159,0.4,0.519,0.267,0.411,0.458,0.327,0.407,0.45,0.194333333,0.279833333,0.338833334,0.366666667,No
J57xP20_74,susceptible,0.5,0.293666667,0.201799079,0.20906326,0.202598505,0.202928482,0.105666667,0.019,0.008,0.008,0.008,0.008,0.008,0.240333333,0.244589269,0.242825134,0.240985277,0.235362524,0.012,0.028333333,0.028,0.082333333,0.016666667,0.025333333,0.019,0.25,0.330333333,0.220136531,0.236124924,0.227369168,0.22096893,0.168666667,0.149,0.012,0.013,0.013,0.013,0.012,1,2,1.15,3.74,2.2,5.12,3.03,1.74,1.7,1.69,0.075,0.025,0.097,0.098,0.098,0.124,0.386,0.508,0.319,0.475,0.539,0.3,0.403,0.49,0.097833333,0.255166667,0.396833334,0.3515,No
J57xP20_75,susceptible,0.5,0.27,0.214136026,0.203367972,0.193377425,0.212474241,0.134666667,0.036333333,0.025666667,0.025,0.033,0.024,0.031,0.354666667,0.253114205,0.262562192,0.249186067,0.271184126,0.02,0.028333333,0.017,0.017,0.016666667,0.028333333,0.019,0.25,0.181666667,0.236451607,0.24554002,0.225158704,0.237500949,0.150333333,0.157333333,0.034,0.013,0.012,0.014333333,0.015,1,1.99,1.23,3.7,2.1,5.05,2.74,1.62,1.76,1.85,0.073,0.023,0.088,0.09,0.092,0.1,0.309,0.424,0.235,0.331,0.386,0.249,0.347,0.411,0.088666667,0.204333334,0.283333333,0.297833334,Yes
J57xP20_76,susceptible,0.5,0.239333333,0.209447091,0.198296734,0.204347779,0.189405852,0.093,0.030333333,0.018333333,0.02,0.008666667,0.009,0.009666667,0.233,0.269559346,0.260459345,0.282263673,0.244484194,0.058,0.029333333,0.027666667,0.03,0.017333333,0.017,0.017,0.25,0.211666667,0.234531352,0.216428109,0.227936483,0.231640491,0.137333333,0.153,0.012,0.012,0.014,0.013666667,0.014,1,2.01,1.22,3.89,2.33,5.22,2.92,1.64,1.67,1.79,0.069,0.019,0.114,0.117,0.118,0.098,0.321,0.432,0.248,0.355,0.416,0.26,0.354,0.416,0.1155,0.2095,0.301166667,0.307166667,Yes
J57xP20_77,susceptible,0.5,0.219666667,0.202502855,0.183410677,0.190970494,0.199834782,0.079666667,0.009,0.010666667,0.012666667,0.011,0.014,0.012,0.269,0.271691108,0.271318736,0.269630727,0.239007597,0.017,0.017,0.017,0.009666667,0.01,0.01,0.01,0.25,0.184333333,0.223669809,0.238639036,0.242981656,0.231658361,0.196666667,0.157666667,0.014,0.012,0.013,0.015,0.015,1,1.94,1.26,3.6,2.48,4.82,3.28,1.54,1.45,1.47,0.078,0.027666667,0.087,0.089,0.092,0.075,0.21,0.289,0.181,0.253,0.31,0.198,0.26,0.321,0.088,0.142333334,0.216833334,0.229333333,Yes
J57xP20_78,susceptible,0.5,0.252666667,0.185586616,0.222433578,0.198768928,0.182012555,0.082,0.018,0.006,0.006,0.03,0.006666667,0.029,0.226333333,0.268603818,0.249299463,0.271672287,0.287802419,0.028,0.029666667,0.009,0.009666667,0.01,0.007,0.007666667,0.25,0.230666667,0.233866325,0.235175075,0.217096602,0.236878981,0.167333333,0.125666667,0.011,0.011,0.012,0.012,0.014,1,1.99,1.29,3.56,2.42,4.59,2.95,1.55,1.47,1.56,0.066,0.016333333,0.071,0.071,0.073,0.082,0.257,0.34,0.22,0.3,0.367,0.224,0.292,0.46,0.071,0.1695,0.26,0.258,Yes
J57xP20_79,susceptible,0.5,0.244333333,0.199897473,0.205956048,0.215678362,0.205635453,0.073,0.041,0.017666667,0.031666667,0.079666667,0.040333333,0.065666667,0.242,0.261679102,0.245751962,0.26934714,0.266837523,0.009666667,0.01,0.010333333,0.016,0.017,0.028,0.013,0.25,0.256333333,0.231810026,0.235373855,0.221603824,0.225872213,0.159666667,0.145,0.011,0.012,0.013,0.013333333,0.014,1,2.11,1.39,3.67,2.4,4.74,3.24,1.52,1.53,1.46,0.081,0.030666667,0.076,0.078,0.08,0.066,0.21,0.29,0.172,0.255,0.319,0.256,0.376,0.475,0.077,0.137666667,0.2135,0.236,Yes
J57xP20_80,susceptible,0.5,0.248666667,0.207153467,0.198228625,0.182090585,0.204373851,0.085,0.014666667,0.015,0.065,0.037666667,0.021,0.087,0.24,0.23802804,0.249060232,0.259148168,0.274315588,0.028,0.018,0.018,0.012,0.021,0.018,0.016666667,0.25,0.215,0.23746272,0.244469522,0.238259813,0.227943752,0.156666667,0.156333333,0.013,0.012,0.013,0.013,0.015,1,1.96,1.15,3.78,2.19,5.31,3.21,1.71,1.72,1.66,0.068,0.018333333,0.089,0.086,0.089,0.077,0.27,0.375,0.194,0.305,0.356,0.212,0.3,0.367,0.087666667,0.173833333,0.198333333,0.256,Yes
J57xP20_81,susceptible,0.5,0.252,0.209077651,0.192432715,0.192569903,0.193094577,0.081,0.018,0.019,0.024,0.110333333,0.119333333,0.032,0.237,0.2620938,0.254511478,0.257252789,0.273008407,0.018,0.027666667,0.027,0.016,0.015,0.016,0.013,0.25,0.238,0.219823995,0.21016718,0.230080786,0.244782477,0.143666667,0.149333333,0.013,0.012,0.013666667,0.014,0.014,1,1.89,1.14,3.43,2.22,4.86,3.21,1.66,1.54,1.52,0.083,0.033333333,0.086,0.087,0.089,0.093,0.287,0.376,0.192,0.288,0.364,0.224,0.301,0.383,0.086666667,0.19,0.24,0.262333334,No
J57xP20_82,susceptible,0.5,0.236,0.202449807,0.178941774,0.194498197,0.206155488,0.087666667,0.021666667,0.015,0.013,0.110333333,0.034333333,0.064333333,0.233,0.258856563,0.271095718,0.232596529,0.25012792,0.026666667,0.011333333,0.013,0.017,0.015,0.016,0.015,0.25,0.222333333,0.245486823,0.207329529,0.225386506,0.229160893,0.177333333,0.142333333,0.014,0.011,0.012,0.014,0.011,1,1.86,1.25,3.44,2.27,4.64,3.19,1.49,1.51,1.46,0.073,0.023,0.112,0.113,0.115,0.124,0.332,0.42,0.26,0.349,0.432,0.209,0.27,0.338,0.112666667,0.215333334,0.304833333,0.239333334,No
J57xP20_83,susceptible,0.5,0.239666667,0.177783999,0.191452281,0.209655106,0.198000877,0.107333333,0.019,0.017,0.014,0.035,0.021666667,0.026333333,0.270666667,0.259119089,0.249273038,0.265404763,0.244553586,0.045,0.019333333,0.021333333,0.019,0.014,0.022,0.016,0.5,0.292,0.250665915,0.21424902,0.232075565,0.238740754,0.164666667,0.152666667,0.013,0.018,0.012,0.013,0.01,1,1.94,1.26,3.59,2.3,4.95,3.33,1.54,1.56,1.49,0.084,0.034,0.091,0.093,0.095,0.094,0.26,0.36,0.257,0.372,0.46,0.189,0.29,0.393,0.092333333,0.177166667,0.314666667,0.239166667,Yes
J57xP20_84,susceptible,0.5,0.252666667,0.198958779,0.208892095,0.202862887,0.192266543,0.164333333,0.013666667,0.016,0.092666667,0.015,0.024,0.017,0.279333333,0.25819543,0.271689732,0.244260584,0.26826346,0.019333333,0.02,0.02,0.019,0.017,0.015,0.01,0.25,0.294666667,0.227252246,0.248424508,0.236928011,0.243777537,0.264333333,0.193,0.011,0.014,0.012666667,0.01,0.012333333,1,1.79,1.12,3.32,2.34,4.61,3.07,1.6,1.42,1.5,0.074,0.024333333,0.11,0.11,0.113,0.118,0.312,0.395,0.24,0.328,0.403,0.192,0.262,0.341,0.110166667,0.215333333,0.284,0.226833334,Yes
J57xP20_85,susceptible,0.5,0.259333333,0.195507039,0.193615549,0.213168165,0.181669904,0.165,0.017,0.018,0.017666667,0.022,0.009,0.018666667,0.314,0.240502255,0.257109013,0.240906646,0.242492625,0.017,0.018,0.018,0.019,0.017333333,0.018,0.017,0.25,0.296333333,0.217028485,0.222236767,0.212328168,0.244735196,0.281,0.205666667,0.011,0.013,0.013,0.013,0.011,1,1.76,1.13,3.57,2.27,4.96,2.56,1.56,1.57,1.93,0.082,0.032333333,0.115,0.116,0.12,0.123,0.304,0.39,0.226,0.306,0.363,0.22,0.295,0.375,0.1155,0.2135,0.266166667,0.257666667,Yes
J57xP20_86,susceptible,0.5,0.237333333,0.205406592,0.17369769,0.202255373,0.199042721,0.157,0.018,0.018,0.018,0.028333333,0.038,0.027,0.241333333,0.260364168,0.2406188,0.268474438,0.251354944,0.020333333,0.018,0.018,0.028666667,0.017333333,0.018,0.017,0.25,0.297333333,0.246821595,0.228658573,0.22984035,0.214871312,0.180666667,0.156,0.013,0.013,0.014,0.013666667,0.011333333,1,1.92,1.25,3.49,2.21,4.63,3.13,1.53,1.57,1.48,0.082,0.032,0.106,0.106,0.109,0.118,0.316,0.403,0.26,0.344,0.415,0.211,0.286,0.352,0.106166667,0.217333333,0.301666667,0.248833333,Yes
J57xP20_87,susceptible,0.5,0.233666667,0.217202666,0.198093673,0.202356155,0.183645067,0.112,0.038,0.026,0.017,0.007666667,0.017,0.017,0.286,0.254203139,0.274975127,0.251676061,0.243512562,0.018,0.026666667,0.028,0.008333333,0.008,0.028,0.028,0.25,0.271,0.254347132,0.237472089,0.223388483,0.242542405,0.162333333,0.117666667,0.014,0.012,0.012,0.015666667,0.013,1,1.94,1.28,3.44,2.16,4.68,3.19,1.52,1.59,1.47,0.074,0.024,0.06,0.061,0.062,0.062,0.221,0.303,0.174,0.252,0.333,0.194,0.279,0.366,0.060333334,0.141166667,0.212833334,0.236666667,Yes
J57xP20_88,susceptible,0.5,0.246,0.196617367,0.203126354,0.206156536,0.210353883,0.092,0.047,0.009,0.009666667,0.026,0.01,0.01,0.264666667,0.255006061,0.259065011,0.237066788,0.254897546,0.018666667,0.017,0.017,0.017,0.017,0.017,0.017,0.25,0.256,0.243639158,0.233832979,0.232010629,0.219600774,0.154,0.119666667,0.012,0.011,0.014,0.014,0.014,1,1.93,1.21,3.74,2.43,5.08,3.36,1.6,1.54,1.51,0.073,0.023,0.128,0.127,0.127,0.119,0.339,0.458,0.241,0.348,0.414,0.221,0.316,0.413,0.1275,0.229,0.294333334,0.2685,Yes
J57xP20_89,susceptible,0.5,0.305,0.185312207,0.204304085,0.20283775,0.198326778,0.077333333,0.012333333,0.008666667,0.013,0.023,0.023,0.013,0.221333333,0.252979935,0.257996279,0.263428079,0.263482486,0.017,0.016666667,0.009666667,0.017,0.01,0.009666667,0.009,0.25,0.240333333,0.232550192,0.241208792,0.239579821,0.238315233,0.155,0.156333333,0.012,0.012,0.012,0.015,0.011,1,1.98,1.25,3.77,2.49,5.06,2.95,1.58,1.51,1.72,0.076,0.026,0.146,0.147,0.151,0.143,0.339,0.428,0.26,0.342,0.401,0.194,0.268,0.328,0.1465,0.240833334,0.301,0.230833334,No
J57xP20_90,susceptible,0.5,0.258666667,0.187860991,0.197789241,0.209625642,0.203337089,0.058666667,0.023666667,0.009,0.017666667,0.017,0.018,0.018,0.283666667,0.26481357,0.25770006,0.255432758,0.2488834,0.009666667,0.016333333,0.027666667,0.017,0.016333333,0.016333333,0.016,0.25,0.217,0.222153211,0.248502093,0.24046837,0.245709034,0.126333333,0.239333333,0.008,0.011,0.012,0.012,0.013,1,1.91,1.34,3.45,2.59,4.56,3.39,1.43,1.33,1.34,0.079,0.029,0.089,0.091,0.091,0.084,0.283,0.39,0.199,0.283,0.347,0.182,0.242,0.293,0.09,0.183833333,0.241166667,0.212166667,Yes
J57xP20_91,susceptible,0.5,0.254333333,0.191316092,0.209591914,0.196538938,0.203138075,0.078,0.033666667,0.028,0.036,0.033,0.124,0.045333333,0.264,0.267173182,0.244906979,0.243020436,0.274810581,0.059666667,0.02,0.016666667,0.021,0.027,0.017,0.019333333,0.25,0.246333333,0.22399473,0.228110229,0.248963329,0.219112233,0.146333333,0.155,0.012,0.012,0.013,0.014,0.014,1,1.88,1.19,3.56,2.57,4.74,3.46,1.59,1.38,1.37,0.074,0.023666667,0.086,0.086,0.089,0.106,0.309,0.408,0.209,0.3,0.37,0.192,0.282,0.362,0.086,0.207166667,0.254833333,0.237333333,Yes
J57xP20_92,susceptible,0.5,0.257,0.21423399,0.180747778,0.200839544,0.191718081,0.091,0.035,0.111333333,0.033333333,0.027,0.093666667,0.101333333,0.275333333,0.285728768,0.238123781,0.260617394,0.263307729,0.059666667,0.016666667,0.016666667,0.017,0.016333333,0.017,0.016333333,0.25,0.258,0.245062263,0.231482448,0.232899354,0.237056632,0.151,0.112666667,0.013,0.012,0.012,0.013,0.015,1,1.91,1.23,3.64,2.45,5.11,3,1.55,1.48,1.7,0.073,0.023,0.099,0.099,0.101,0.08,0.232,0.305,0.195,0.273,0.328,0.19,0.266,0.351,0.099166667,0.156,0.233833334,0.227833334,Yes
J57xP20_93,susceptible,0.5,0.272,0.198151258,0.198046956,0.191672718,0.198502124,0.091,0.034333333,0.032333333,0.038333333,0.026,0.122,0.079666667,0.263666667,0.232471417,0.287952743,0.256359354,0.252656615,0.016666667,0.015,0.015,0.047333333,0.015,0.024,0.038,0.25,0.253333333,0.231198866,0.227086558,0.242235109,0.224504625,0.14,0.117,0.013,0.012,0.013,0.014,0.015,1,1.83,1.19,3.34,2.27,4.59,2.84,1.54,1.47,1.62,0.067,0.017333333,0.079,0.08,0.082,0.094,0.262,0.344,0.243,0.322,0.393,0.19,0.272,0.373,0.079666667,0.178333333,0.282333334,0.231,Yes
J57xP20_94,susceptible,0.5,0.257666667,0.194522356,0.202265545,0.198561167,0.207155738,0.110666667,0.026,0.029,0.029,0.029,0.026,0.074,0.242,0.266913225,0.280038126,0.263362657,0.272070375,0.015,0.015666667,0.007666667,0.025,0.026,0.043333333,0.019,0.25,0.273333333,0.225938304,0.236973483,0.240127863,0.216645829,0.161,0.115,0.014,0.011,0.013,0.013666667,0.014,1,1.83,1.2,3.37,2.26,4.51,2.94,1.53,1.49,1.53,0.069,0.018666667,0.146,0.147,0.15,0.105,0.279,0.361,0.245,0.331,0.396,0.211,0.279,0.383,0.146166667,0.191833334,0.287833334,0.245166667,Yes
J57xP20_95,susceptible,0.5,0.251666667,0.201030261,0.20359952,0.188453006,0.201760336,0.102,0.031,0.033,0.032,0.024333333,0.026666667,0.041,0.288666667,0.284644443,0.260970975,0.258707904,0.285967522,0.017666667,0.015,0.015,0.031,0.026,0.025,0.012,0.25,0.284333333,0.235074909,0.236406683,0.239048923,0.21714474,0.139666667,0.126333333,0.014,0.012,0.011,0.013,0.012,1,1.88,1.23,3.4,2.24,4.91,2.77,1.52,1.52,1.77,0.08,0.03,0.09,0.092,0.094,0.074,0.263,0.366,0.236,0.365,0.448,0.227,0.357,0.482,0.090833334,0.1685,0.300333334,0.292166667,Yes
J57,susceptible,0.5,0.256666667,0.193593456,0.19067662,0.177744332,0.198385299,0.185666667,0.02,0.019333333,0.021,0.023,0.022333333,0.024,0.288,0.256631853,0.250101271,0.2609169,0.240655467,0.027,0.027,0.019,0.024,0.023,0.024,0.015,0.25,0.273333333,0.243593499,0.215876222,0.227870805,0.228005684,0.184333333,0.199666667,0.012,0.013333333,0.013,0.01,0.011,1,1.89,1.21,3.44,2.47,4.66,2.94,1.56,1.39,1.58,0.082,0.031666667,0.096,0.097,0.1,0.076,0.242,0.319,0.263,0.355,0.436,0.237,0.319,0.416,0.089833333,0.175833334,0.3145,0.286,Yes
P20,susceptible,0.5,0.242333333,0.204143106,0.186345097,0.205787832,0.196868686,0.17,0.071666667,0.014,0.089666667,0.017,0.026,0.046,0.239333333,0.266810322,0.266990297,0.282099448,0.251955127,0.039666667,0.018,0.018,0.018,0.088333333,0.017,0.013,0.25,0.265,0.231074611,0.230170978,0.234682615,0.227486897,0.252333333,0.2,0.01,0.012,0.015,0.021666667,0.020333333,1,1.94,1.23,3.79,2.48,5.17,2.94,1.58,1.53,1.76,0.084,0.0335,0.088,0.089,0.089,0.091,0.314,0.434,0.278,0.368,0.435,0.281,0.407,0.463,0.090833333,0.190833333,0.3295,0.3345,Yes
